id,first_name,last_name,voivodeship,city,email,phone_number,age,last_purchase_category,purchases_value
26,Celina,Dziedzic,Podkarpackie,Poznań,uivtjhbjwykgdpjqcuzaktela26,tjhvzrdzjzmpm26,51,1,454
27,Wojciech,Adamczyk,Mazowieckie,Gdańsk,qozwouzdwvrrwflftgerummdp27,rafciconqrwij27,31,5,54
28,Iwona,Kowalski,Kujawsko-Pomorskie,Łódź,igycrgxdoxgepoycgkpgquyiq28,tbmgycsolhcrv28,35,4,308
29,Grażyna,Szymański,Dolnośląskie,Gdańsk,ytjywllkamltihihbletpwvke29,jwegmilrjcrkw29,47,1,485
30,Edward,Piotrowski,Podlaskie,Lublin,wslxxdusstpherzjzglptprwi30,bxfztumvcwfjp30,30,1,181
31,Paweł,Wiśniewski,Małopolskie,Warszawa,bojvdfzzonvsfjfhkwfebzikm31,cqsoqpxnnnlel31,80,4,5173
32,Grzegorz,Piotrowski,Opolskie,Poznań,wufppqevoprjuaqgwazpgenph32,dsmkkbrwvglqp32,27,5,380
33,Jacek,Nowak,Podlaskie,Kraków,ehybgwzdgjjaanmfkwifrtysu33,qiohhlpoievwr33,25,1,1544
34,Aleksander,Lewandowski,Lubuskie,Łódź,owwngikqfqikbgmaezfzclfzs34,uacxxnshbrolj34,28,1,233
35,Katarzyna,Jabłoński,Podlaskie,Lublin,hjctnwtdtszpkupvrtudrknhm35,qpuhvasoeiuzt35,38,1,6312
36,Katarzyna,Michalak,Dolnośląskie,Szczecin,nuvsfungzendvggjgiuqtanhl36,gozdhjqqkirwr36,64,2,432
37,Katarzyna,Nowak,Lubuskie,Gdańsk,fwogmnnppwdwsjlukrozftyvj37,vmprmeeoynqeu37,21,5,259
38,Wojciech,Dąbrowski,Podkarpackie,Kraków,cmhkyfzhixncmcssryhdmkzub38,pdmaniqzbndqm38,34,2,392
39,Małgorzata,Michalak,Podkarpackie,Gdańsk,hwpemhhtskmekxnyxmkvkizsg39,ouumhwuwbuyfo39,22,5,262
40,Felicja,Dziedzic,Łódzkie,Poznań,umehqblacxkyipzjixdkfnova40,orkshdwmmalze40,62,1,335
41,Grzegorz,Mazur,Lubuskie,Bydgoszcz,dgmyvpeyjeqqoejolxswyvjba41,bbovmsghyzizp41,75,1,398
42,Norbert,Grabowski,Podkarpackie,Lublin,maeewpgscdtgevrtezvdesbuy42,smdaqnbpnhwst42,68,5,2492
43,Bartosz,Dąbrowski,Łódzkie,Lublin,wcrsynlwaiigkuqnydxpvpsyi43,kugzncwvebhrl43,45,1,46
44,Małgorzata,Dąbrowski,Małopolskie,Gdańsk,rqyuxoqizxvkbyafgoprjmsrl44,yxqcoaqbwevui44,51,5,22
45,Małgorzata,Zając,Lubelskie,Gdańsk,eyfjwgulibzijelfcuxmuyinl45,akyffdgrrirgz45,41,1,441
46,Danuta,Michalak,Dolnośląskie,Kraków,xajtzeozjvkxuqqzbsntkjsgv46,piaajirdfhbkg46,78,4,7964
47,Celina,Kaczmarek,Podkarpackie,Poznań,glbhujdhocdblqzpqslzflzyj47,pourqcfiwrtdv47,76,4,248
48,Ewa,Dudek,Kujawsko-Pomorskie,Poznań,lzurjwoetltuffvqdbroyrcgx48,rycksdjgurkxq48,42,4,4103
49,Felicja,Mazur,Lubuskie,Szczecin,wxyxobwuuvhwzeqvhwmiiibit49,hpykikzuzdche49,41,2,191
50,Jacek,Dąbrowski,Lubuskie,Wrocław,kvixhigeudwluhjnytajxfmno50,hjvwcqzylormr50,31,5,171
51,Grzegorz,Wiśniewski,Mazowieckie,Lublin,bmwezkjidybjrerskcvwlcdud51,kiyrkpeynecwn51,66,4,9755
52,Zofia,Lewandowski,Podlaskie,Lublin,qfudsotcqperkftcrgazeawxk52,suhctwzbuetmv52,53,5,52
53,Beata,Szymański,Mazowieckie,Poznań,gadebagffpdztblywvcouchfx53,qbujktvwirgfv53,78,5,364
54,Danuta,Krawczyk,Podlaskie,Wrocław,wgbhrundzwtgbzflvyypbfkal54,pcslpibypygkg54,58,3,247
55,Czesław,Piotrowski,Podkarpackie,Poznań,syehapbryfwruiburuaybzjcm55,nrwninsoracqb55,23,1,288
56,Małgorzata,Piotrowski,Lubuskie,Gdańsk,suhbtnveidyxtcxyzdnooabdc56,dfomdzbvtokuu56,62,1,231
57,Dariusz,Mazur,Lubuskie,Gdańsk,elhwrhcuzqmpqwxvkemhkxyru57,sdubkotrnjeju57,31,1,380
58,Helena,Woźniak,Lubuskie,Bydgoszcz,lfkwqpjcflwrtugsjxdogmljn58,owsjzqeorjvna58,79,2,267
59,Dariusz,Michalak,Opolskie,Bydgoszcz,jlfahwvjqouuivoiubmzlfcby59,nkcnuzgpswopx59,52,3,202
60,Czesław,Michalak,Opolskie,Warszawa,eesfsxfhoacndigembufelmuc60,taviwvbddthwr60,79,1,1675
61,Beata,Kaczor,Łódzkie,Gdańsk,zasxumvyoowgzerwumuliuicd61,lnfaosfmyznfk61,70,1,209
62,Małgorzata,Zając,Podlaskie,Bydgoszcz,znjmnszswekkinlawfliapxyu62,fmgtvetwgisss62,68,3,271
63,Celina,Mazur,Opolskie,Szczecin,lbzxpfarlfqimqxlzikbzwbxn63,rfyzdedhhggoz63,25,1,120
64,Danuta,Kowalski,Dolnośląskie,Lublin,vgdapwhxjjzsvycnypcmehzov64,gbpgnmohoghje64,43,5,4408
65,Filip,Mazur,Małopolskie,Warszawa,mswqolflbpuqnhejhroieclhd65,imexrpjmseadl65,66,1,422
66,Róża,Dąbrowski,Mazowieckie,Szczecin,zlcxhrruvolzcwcjpebxjlluf66,yvfcjqogaxqqi66,43,5,165
67,Beata,Kaczmarek,Małopolskie,Lublin,elytwhsdgbydzripmmprvliwr67,zgxfxnfaiixqa67,78,5,261
68,Szymon,Kaczor,Dolnośląskie,Łódź,yatoiyzqmwodlhydonnkqdvhk68,bvqfvfvnmlkgz68,76,4,318
69,Beata,Lewandowski,Łódzkie,Gdańsk,xajptuoxyalelinaeelvwmwow69,fqpvjgrmiojdn69,30,2,242
70,Zofia,Piotrowski,Dolnośląskie,Bydgoszcz,ykxcgexmmweigouycttnegyiu70,ztwjmjyikdwph70,42,1,85
71,Helena,Kaczor,Lubuskie,Kraków,ybzajvnqzkfkslvpepczjztiz71,owplxymculunv71,30,1,316
72,Zofia,Dąbrowski,Dolnośląskie,Łódź,hsohlxwixeavuarufhfxfumju72,kdysjgoxbdzdn72,34,5,328
73,Katarzyna,Mazur,Małopolskie,Bydgoszcz,pgrvozpqdmyxifqlrymxkagwn73,cyuvhzmcwaewh73,31,2,288
74,Oliwia,Woźniak,Lubuskie,Bydgoszcz,mijwmvakldqbrxzpnxvcgourx74,nvxnpksvnlmvr74,33,5,4184
75,Aleksander,Krawczyk,Lubuskie,Łódź,cgwiwhulbicjqwxiqzbbbsqli75,vtjnpbmeucnma75,20,4,230
76,Edward,Kwiatkowski,Podkarpackie,Wrocław,vsgdjjycqcpcldpopexnsjtww76,wshnxhaophlzh76,25,1,480
77,Celina,Kaczor,Podlaskie,Wrocław,fepjnkecwwlwecaayyxiwusdy77,pvcpcqrpbbelh77,32,1,48
78,Edward,Wiśniewski,Kujawsko-Pomorskie,Szczecin,svzyjmsapihjvoiokliprbdat78,bfkxanjzvupoh78,71,4,435
79,Celina,Dąbrowski,Lubuskie,Łódź,rkoewafcvufpngmposdivmtnn79,plnhmdtwxlzpi79,26,5,1
80,Ewa,Grabowski,Małopolskie,Szczecin,hsagmpprxctttjesarfzvbjcm80,wmxbnjtrlflma80,35,3,372
81,Grażyna,Zawadzki,Kujawsko-Pomorskie,Kraków,zwigxltrefnbuymafinsscrnv81,barvvmirxfzki81,53,1,226
82,Bartosz,Piotrowski,Lubuskie,Łódź,fkdrsdmpqcrqearrhsygcysgy82,uuegnwmpecwwo82,49,4,261
83,Norbert,Mazur,Lubuskie,Gdańsk,qgxzwmuxtmbbywbtcuqerqpzc83,zyhbybollwzbu83,21,4,5917
84,Jacek,Wiśniewski,Podlaskie,Warszawa,dggyrnqunvcxypixemfjfbjis84,hvuyourplnegv84,58,5,469
85,Edward,Zawadzki,Kujawsko-Pomorskie,Bydgoszcz,ykvaqjmhfmytfnbbwnoezagrh85,xlbcbpluisjud85,42,2,89
86,Iwona,Grabowski,Podkarpackie,Lublin,euioyruldamtxujirdnmxshmq86,drqqmmhxjchtm86,22,3,406
87,Beata,Wiśniewski,Kujawsko-Pomorskie,Łódź,lwjxluvwcowfphzbwcejhxjqf87,pcymrsuiuvdik87,44,4,489
88,Jacek,Kamiński,Opolskie,Gdańsk,ngelsaxqndqmrhmifffzqpzbg88,qxezrqdmwotsx88,56,4,436
89,Wojciech,Szymański,Opolskie,Szczecin,hheuiqlubdwnodskaaidckqnt89,icichjrdfubku89,58,3,313
90,Ewa,Piotrowski,Małopolskie,Wrocław,vtdgytgwrclyzitruktsfhmeb90,mqxdbqhqbdzow90,41,4,75
91,Małgorzata,Zawadzki,Podkarpackie,Katowice,hjckyzyzwrvtyytajqqxvmaoj91,qrmfrdejjwqhu91,43,1,291
92,Celina,Dziedzic,Kujawsko-Pomorskie,Gdańsk,ryhzjmrnyfijibapgdtegbhne92,utafbeyaxmcyz92,66,4,9170
93,Norbert,Adamczyk,Małopolskie,Warszawa,laikhisomgddfsosrvfjtpkgu93,ixcbtjyrqmxim93,34,4,456
94,Edward,Szymański,Łódzkie,Gdańsk,flwjxzvhrrkbjpifkeoyrabnv94,ztqmnjymckwsr94,50,3,337
95,Czesław,Michalak,Kujawsko-Pomorskie,Wrocław,imcxcvzatdundxcdfbtjagvmd95,dyjbpkxjocmzc95,53,4,5971
96,Jacek,Piotrowski,Małopolskie,Szczecin,hgeesjiqoitoulrkqvhvmwaso96,ycxvqsnjcimyn96,73,3,19
97,Aleksander,Szymański,Lubuskie,Wrocław,nlqixpxogxtcpwfhgymqhgmgm97,wxyiaauehfswv97,41,1,397
98,Róża,Lewandowski,Kujawsko-Pomorskie,Łódź,dqyaidpephhzxgkupsusmgivu98,gvjaisqqvynht98,34,1,173
99,Agnieszka,Kowalski,Podkarpackie,Szczecin,jknobrcmqudxndgdlxpodmvuj99,ujukfrviulnel99,42,3,165
100,Małgorzata,Wiśniewski,Opolskie,Wrocław,luomstkwhohwlglrwozvqwkvc100,yvlerfjsadtem100,67,3,172
101,Edward,Kowalski,Opolskie,Szczecin,nonhkawisnvwsutjshteyuiki101,ooiwkudeeaeqy101,23,2,453
102,Oliwia,Nowak,Małopolskie,Bydgoszcz,kkmyvxixdpdjnoqvjhpufoqtr102,mmdmifpzbwjyh102,78,3,902
103,Zofia,Wójcik,Kujawsko-Pomorskie,Bydgoszcz,cqvwkkcjhhqaxqhqjmmpdmiib103,rzntswahignis103,73,2,388
104,Dariusz,Grabowski,Małopolskie,Gdańsk,qazkqyvaexqqfmcjyptuezeos104,wjbzvsqcyuabm104,65,2,238
105,Jacek,Adamczyk,Kujawsko-Pomorskie,Poznań,dxfzqhkxdenhxatsghfavqplo105,eesnhjarzeoiz105,36,2,8830
106,Jacek,Kaczmarek,Opolskie,Poznań,voxxrlheamsobzktpjiokujft106,upypuyhevvocc106,73,1,9613
107,Jacek,Wiśniewski,Dolnośląskie,Szczecin,ippukgkkhlvdcrplbjsbrsgni107,enxzokatorzzk107,21,1,436
108,Dariusz,Michalak,Kujawsko-Pomorskie,Kraków,hcydvndyzlxdhgbsgxralbqud108,cdjkgnjzgxtlt108,79,2,475
109,Wojciech,Zając,Lubuskie,Bydgoszcz,tdnxlnuvjdsdtgbasbrbjxneh109,btphrnfzxjlpn109,68,1,295
110,Grzegorz,Mazur,Lubuskie,Lublin,bigqijjnxahqnnmcvpafyjzot110,zzbgthprntuxt110,32,4,1764
111,Szymon,Kaczmarek,Podkarpackie,Katowice,dnusmjbhrvbijvbzgwszaerth111,humplvvtxsupd111,40,3,9311
112,Norbert,Wiśniewski,Lubuskie,Lublin,kzbespkmydhwkbqbgnpcyqick112,iqeyvouiovjha112,32,2,8853
113,Ewa,Nowakowski,Kujawsko-Pomorskie,Łódź,okhykvfbfkaigjjspmsouemlq113,jezurzsazimdq113,34,2,4192
114,Róża,Wojciechowski,Dolnośląskie,Łódź,jherpgpvwhdrfzqybsmqjcxaz114,jjmgweaeaxxdc114,32,1,58
115,Filip,Nowakowski,Kujawsko-Pomorskie,Kraków,zemmsshkgzhiqfnbdhxdxcrpj115,tfgofkzihouae115,76,3,402
116,Teresa,Kwiatkowski,Mazowieckie,Kraków,ollervgaxfepgguzwrqdaltnu116,symqkdqnhlwlh116,34,4,459
117,Jacek,Kaczor,Kujawsko-Pomorskie,Gdańsk,ndwfwwamnqfjnnlmapahttusp117,rixloiewzrsfv117,62,4,275
118,Teresa,Dudek,Kujawsko-Pomorskie,Łódź,agkuikmnicnimnmrkgcyiwmet118,vljnrmbnjkvqz118,31,2,147
119,Norbert,Kaczor,Kujawsko-Pomorskie,Katowice,zsxbklnouqfxryvhtrsdosgmr119,mhtbvqwrwkreh119,22,5,442
120,Norbert,Dudek,Lubuskie,Lublin,yeacpdmspkyahoipgtatsthll120,ylyluvnilhnei120,64,5,7415
121,Henryk,Krawczyk,Małopolskie,Szczecin,usuuuysdjyguiptzvcpavmnei121,khbofozqbmoua121,30,1,387
122,Zofia,Jabłoński,Łódzkie,Warszawa,cnutrwrdybdmyejteixkcgukg122,kpqumsuimimyn122,51,4,20
123,Małgorzata,Piotrowski,Podkarpackie,Łódź,ypmlreuigfcmqrmhgvkxxsyba123,mruggogjlrtzn123,74,3,381
124,Grażyna,Jabłoński,Kujawsko-Pomorskie,Gdańsk,fhzzfzmlwuacwnycctnopcyrq124,heumrpywopdfy124,26,2,375
125,Katarzyna,Dudek,Podkarpackie,Lublin,iyfyjsraebgjmcwmnzataxmou125,yzmvtnugimtxp125,71,2,388
126,Aleksander,Woźniak,Opolskie,Poznań,dzhavqkiultkbmaugwilvnaxy126,fyoboskyavxde126,35,1,325
127,Ewa,Dudek,Podlaskie,Wrocław,gofpafpfbnorcxfwutppykyro127,ccxnlyxkzmipf127,30,5,89
128,Małgorzata,Szymański,Mazowieckie,Lublin,phqqzrwekkpmjdsuxufiiwxfy128,zbtnhpphwwhph128,53,1,404
129,Edward,Zając,Podlaskie,Łódź,razlgtefmhtsfvivrzaiawuos129,brwmbfmcdinoo129,78,1,110
130,Katarzyna,Dziedzic,Opolskie,Łódź,eiulteijhqvupltlmxealtchj130,zsqxwiytgoktp130,25,3,407
131,Grażyna,Mazur,Lubuskie,Łódź,rmkvvdumnxxopjtrdgdochryv131,sbgvguoodrbcm131,65,3,308
132,Celina,Kwiatkowski,Lubuskie,Gdańsk,klfumhvitokxvlweqqoaqmecx132,gfyzhzffrjidp132,29,2,414
133,Ewa,Wiśniewski,Podkarpackie,Gdańsk,gvxhivvvlqciposvmysfpijhp133,pqgamupsglpgv133,66,5,264
134,Jacek,Nowak,Podkarpackie,Kraków,vzwrkpebirgcqfqwvnwqyghmw134,phrowqummqqzs134,23,2,7
135,Jacek,Kaczor,Lubelskie,Lublin,uzxxqgzuzcmyuszbfvvdnjslq135,gszgbydxzcbfd135,30,1,453
136,Jacek,Adamczyk,Podkarpackie,Łódź,zulzudmucmrvgdalpsfrembzs136,xediphszjpjiz136,21,5,279
137,Małgorzata,Lewandowski,Łódzkie,Warszawa,ogccpbzymmncrudpenlniylik137,nuiwfwxowsksm137,58,1,219
138,Małgorzata,Wójcik,Podlaskie,Szczecin,ywuvcspkgkoypcuopezlrvrwf138,hltiptwbhiorw138,42,1,224
139,Grzegorz,Wójcik,Lubuskie,Warszawa,ntsbaxknbllzndlgytvropavf139,tobnqpucamiwu139,45,5,278
140,Urszula,Dąbrowski,Małopolskie,Lublin,mnpclpqlpiacrsnerpvovfuaf140,kifbhvbfirxya140,79,2,384
141,Felicja,Woźniak,Podkarpackie,Szczecin,tebuboznlsyfdjjofgcioagwq141,mqbmngwsdzdmx141,71,3,155
142,Grzegorz,Adamczyk,Opolskie,Bydgoszcz,wwwrjckumcwtcxbxcvnxtxfsb142,kateycxmykyiv142,62,1,210
143,Teresa,Dziedzic,Opolskie,Kraków,gzccswjfjhzuawmkordoyaute143,tgnjtjsqrgrgw143,32,1,94
144,Róża,Zawadzki,Lubuskie,Łódź,lgicoaduvlpllfypcnlxikjzt144,yglovfrkufjie144,33,2,6128
145,Norbert,Kowalski,Opolskie,Poznań,ftamjaxceqjljroklhxvjiqnf145,kjetemlhrxthh145,69,3,4309
146,Beata,Dudek,Dolnośląskie,Warszawa,usvxctbwqjkuhqxxikdpzicee146,isfkhszsmobji146,58,5,21
147,Urszula,Kwiatkowski,Lubuskie,Poznań,sjihsouwvvdhoglphhrpkugzw147,erbpbquaynfch147,23,2,416
148,Norbert,Dudek,Kujawsko-Pomorskie,Warszawa,rhmdcddcwuqbhuapgjkfpdvxi148,czxlaklcuqkph148,68,4,7934
149,Łukasz,Adamczyk,Lubuskie,Poznań,kyfzsraxophvbhxddcdejpaqy149,suelksmggdavn149,36,5,571
150,Celina,Mazur,Podkarpackie,Łódź,uircelixsxmthgszzmacdwicg150,tevflcpewphqg150,25,4,104
151,Teresa,Jabłoński,Lubelskie,Łódź,aefdejnramupsdncqvjyoisqp151,ihknrlfpqzmrg151,23,1,364
152,Czesław,Nowak,Kujawsko-Pomorskie,Wrocław,keeoiedctsmxpolpcgnbuzhbk152,pyaojzigmrnve152,50,2,337
153,Katarzyna,Kamiński,Podkarpackie,Bydgoszcz,snlfqclmcoknkeittxqqyzeaa153,biupaldhzrkei153,55,5,1889
154,Celina,Dąbrowski,Podlaskie,Bydgoszcz,kdqiirjzkzjcjyqhqscpegihk154,uhjihjgongxmc154,35,2,93
155,Szymon,Zawadzki,Mazowieckie,Lublin,dulmatlhiinprkqswrwhbpnvx155,qtozgcwqdyukw155,51,1,444
156,Róża,Kaczmarek,Lubelskie,Poznań,gwnfobdyuyfgceroxepgeyneb156,qtjobzbgpwwqv156,78,4,79
157,Jacek,Dudek,Lubelskie,Kraków,gatgbxnqesdcorzkcbjornnse157,lsdbzfqkzaoob157,25,1,79
158,Grażyna,Kaczor,Mazowieckie,Szczecin,svwpxwohltrieybquogrciamq158,nfxjnzocjjmhw158,33,4,207
159,Beata,Kaczmarek,Podkarpackie,Gdańsk,mtxxlatfaatdxynrfreraltie159,kinazehcwwoas159,33,2,6057
160,Norbert,Kaczor,Małopolskie,Lublin,lshgsbsmcswrjouwpdqggtkrg160,mxlmvybhhrxhl160,42,1,373
161,Grzegorz,Kamiński,Opolskie,Warszawa,yqfzqigpjzxlxneqgwrxpntmw161,qpshoazjgitmg161,78,4,332
162,Norbert,Wiśniewski,Łódzkie,Lublin,bczpnlokjzkrvdcaaepjzmsdy162,dceochigijhab162,76,4,520
163,Teresa,Dudek,Kujawsko-Pomorskie,Łódź,zdnvgfhhxrzjzhkgpsvcdrxdv163,utntfohwhdzsz163,79,5,54
164,Zofia,Kamiński,Małopolskie,Poznań,jbaqhwlxgfiwonrpabecabkbl164,lfhdnkskysrjg164,33,2,258
165,Szymon,Dziedzic,Małopolskie,Wrocław,prccmkerzjiacuhjcseclwqoo165,xvmunpohffhqc165,42,2,51
166,Agnieszka,Zawadzki,Małopolskie,Poznań,zcovjxoybajbdgwydvbwtbawg166,zyeyusddmohhf166,71,2,767
167,Felicja,Dąbrowski,Kujawsko-Pomorskie,Szczecin,mdmxgfonfxrsghinaybvvbert167,vpphqugvtmckd167,21,5,353
168,Oliwia,Kwiatkowski,Kujawsko-Pomorskie,Szczecin,ckfrneaddomregtmdxvniblla168,zchskwxiomkev168,58,4,304
169,Czesław,Kwiatkowski,Mazowieckie,Bydgoszcz,xizrocvydlsrbffbrigimppwk169,dfpbtrthkruio169,20,2,5
170,Iwona,Wiśniewski,Opolskie,Warszawa,xdtcyjzughlmcavqdoexrjcnk170,gwmugtlmjepwy170,34,4,3406
171,Bartosz,Kaczmarek,Lubuskie,Katowice,fpmnxgphmsfzsiptdszdqedsq171,tbtlzbumqgora171,21,5,7981
172,Danuta,Szymański,Małopolskie,Kraków,evdjcspfmkuruwpdctqteogsx172,aszezmbcjoiwd172,71,4,225
173,Aleksander,Adamczyk,Łódzkie,Gdańsk,leskmaesxfpdqmfuobyyfhisj173,lfqygnztdlncm173,54,1,258
174,Paweł,Zając,Dolnośląskie,Poznań,ktfrjohorasbawhxaxfrzdeam174,uviaqkfehwnqn174,21,1,480
175,Dariusz,Dziedzic,Małopolskie,Lublin,bqqeeavskvslwbaohmxocytdd175,lujyowkdiiaes175,35,3,152
176,Felicja,Kwiatkowski,Małopolskie,Kraków,klkijdcennbocmqzbqytwdwug176,znpaohjbttgui176,78,5,323
177,Wojciech,Grabowski,Opolskie,Łódź,mtezigryxjvgoygbeziqlrsqy177,wdnecuutzlejy177,63,4,903
178,Norbert,Kowalski,Lubuskie,Łódź,oygrjpkanxizqbtaguulyfldw178,flnumylhksucx178,33,1,277
179,Aleksander,Nowakowski,Podkarpackie,Gdańsk,sgbwtyuczwbtexxnuxevgmrrx179,objclodthhzem179,35,5,109
180,Czesław,Dąbrowski,Mazowieckie,Warszawa,piebuescorpatfrvafdqgzouo180,rojoijhjelaen180,25,4,137
181,Katarzyna,Kaczor,Kujawsko-Pomorskie,Kraków,fehvayrkrctmjeynkdceolwiw181,gxdnommhrkeyz181,55,1,3992
182,Jacek,Piotrowski,Opolskie,Szczecin,omnjrsiqzjoabfhsevgpqkueh182,yjbsqwdobfdcw182,34,4,359
183,Dariusz,Woźniak,Dolnośląskie,Wrocław,tbzhowwfgiudubqzoeyidopje183,ijrykllypolma183,57,4,243
184,Wojciech,Michalak,Opolskie,Warszawa,pikwqppqswazeullkbotmblvr184,jwzddpdxxrhfj184,36,4,653
185,Katarzyna,Mazur,Dolnośląskie,Bydgoszcz,hzufcnvyzajmuljyxwscfrqrp185,kchtwvdgyjmdl185,46,2,451
186,Iwona,Dziedzic,Opolskie,Wrocław,sthkswkmhtripbzbfixjxxfqx186,xmkmafijngogy186,20,5,98
187,Jacek,Dąbrowski,Podlaskie,Poznań,cdkjvwcxfsfsuswatxsoyicnb187,gugpnyttzcqjr187,21,2,62
188,Oliwia,Zawadzki,Opolskie,Wrocław,lqzjbpamivjwabaqkvqoisiig188,fvpekcgespxzb188,21,1,305
189,Ewa,Adamczyk,Opolskie,Łódź,vkxetgrmfbknejdjcjlmgssei189,mkwwbqhroobdg189,60,4,2648
190,Filip,Lewandowski,Mazowieckie,Warszawa,nzkkkmfqltsgogccvcsxhtfrf190,anaejcdaxaiaa190,70,5,186
191,Danuta,Szymański,Lubuskie,Poznań,ufszdmdrojjfchajaztthuwps191,gqhbahvaqygws191,63,2,289
192,Czesław,Jabłoński,Lubuskie,Gdańsk,qeggcyjbjxyylqmjbloisqiks192,xdwtbgyesubyl192,59,3,6191
193,Wojciech,Kwiatkowski,Lubuskie,Warszawa,ziowcyligncravammfxszwlpm193,ivzjotqxxgzhf193,49,4,9
194,Oliwia,Lewandowski,Małopolskie,Poznań,niphesbpqrzeovneemgyepiaj194,ypljbohwnumuw194,72,1,48
195,Henryk,Kaczmarek,Kujawsko-Pomorskie,Łódź,niummxfkhtxamrsecvbyuimhx195,fzwqtaphokluq195,54,5,23
196,Dariusz,Wójcik,Podlaskie,Łódź,dauiynfxqkdywnapbsnisnesa196,wyinvyjzzfokj196,34,3,17
197,Dariusz,Zając,Opolskie,Gdańsk,ynynyfdyzfpvynnxmpfedlpvn197,eabqlsisjvmit197,45,2,104
198,Bartosz,Szymański,Lubuskie,Szczecin,xcowysyuljgukyqpgvhguqfbt198,foynbdcywnzdf198,25,1,447
199,Grzegorz,Adamczyk,Łódzkie,Szczecin,zozqntlnzvflicvwmgoymrmej199,hirqghrfapmyb199,23,2,38
200,Ewa,Nowak,Podlaskie,Poznań,sgzpyxtxjusgikynmlbtssgtd200,coffuxtnfzgeb200,30,1,586
201,Norbert,Jabłoński,Opolskie,Katowice,iwmaqysadfvwfbymrjwtwkhut201,wlioupezmzlrk201,30,4,283
202,Filip,Kaczmarek,Lubuskie,Kraków,ntsajbeflinxsqwdhlryuwjkv202,kgoqzrqdpyrbv202,65,4,186
