id,first_name,last_name,voivodeship,city,email,phone_number,age,last_purchase_category,purchases_value
77,Celina,Lewandowski,Dolnośląskie,Wrocław,ugpaicqxhkfyqskovnugegighempjr77,qhmntyondange77,35.0,2,452.0
78,Edward,Piotrowski,Kujawsko-Pomorskie,Lublin,eznrgsfrtmiuazbmxfqsxuuxbtlyxc78,gqlhssyeozaaf78,29.0,1,14.0
79,Celina,Wojciechowski,Małopolskie,Gdańsk,njsgcladsrimkqppcwmqvtfrytdxtg79,nfijiqobkvhbz79,23.0,1,294.0
80,Ewa,Lewandowski,Opolskie,Lublin,wtrlhjrhtrawxdurvmyeoqojqyjyua80,mpegxwfskwmxj80,23.0,1,196.0
81,Grażyna,Dąbrowski,Kujawsko-Pomorskie,Gdańsk,psgmmspllthkksbhanktxdvkaigant81,rvmzvigfglzjl81,71.0,1,275.0
82,Bartosz,Woźniak,Mazowieckie,Bydgoszcz,nxzfisjgspclutdkdvpftxvabwauzu82,fgkcsgbdhrlbv82,43.0,1,345.0
83,Norbert,Michalak,Małopolskie,Lublin,tprvtzpeivxcfozmsfwwvdhkrfghva83,tankwhtnuenfj83,66.0,1,200.0
84,Jacek,Szymański,Dolnośląskie,Poznań,dtpmqpaaalyrtrtmvmkjjnexztdwna84,fylxubihmjirx84,73.0,5,438.0
85,Edward,Piotrowski,Kujawsko-Pomorskie,Kraków,agspjohfejuxquwgyxxkgfqnhakmhn85,sjbgufmcdeihq85,36.0,5,469.0
86,Iwona,Zawadzki,Opolskie,Łódź,dbilfgpllmmkuwhaqehdwckvuxfzdt86,pprcjmiztvwbm86,43.0,4,484.0
87,Beata,Kaczor,Łódzkie,Szczecin,urgptqyaqwlsszbggtkvosnourvrrr87,ttyzcroateuez87,71.0,1,6410.0
88,Jacek,Piotrowski,Opolskie,Szczecin,vfrddxotmeecyllgccvjcjebzbsyea88,piyjhxoqeomyt88,68.0,5,411.0
89,Wojciech,Kowalski,Kujawsko-Pomorskie,Szczecin,dcagezxnrdkhhwuwsnfqfdtzkvpuhr89,xtylghcrhyrji89,67.0,3,431.0
90,Ewa,Krawczyk,Podkarpackie,Bydgoszcz,ojysiwvqimdfjbnwwmaivyhkqkqoch90,btqobbpuunwoj90,35.0,4,71.0
91,Małgorzata,Jabłoński,Mazowieckie,Wrocław,snvtydxsyxgsfrymzosyyihdiggxjl91,nufeljqsifcct91,31.0,5,462.0
92,Celina,Kamiński,Kujawsko-Pomorskie,Łódź,ggtmlxpgrgqgtladnpprmkrodrkzyq92,sqeilgnsecskj92,30.0,5,62.0
93,Norbert,Zając,Opolskie,Bydgoszcz,dnhtsphqgbvlbizhdfwtfsoevuftoo93,womltkfzdqhgx93,25.0,5,102.0
94,Edward,Kaczor,Kujawsko-Pomorskie,Poznań,lohfsuirzdvasabeuyrhtkhecbgawm94,lntgflfdptjge94,29.0,3,469.0
95,Czesław,Kaczmarek,Mazowieckie,Szczecin,vobzhkwmnhbcthwchjhxhcgjhexeal95,vlqonrmvviavc95,62.0,2,408.0
96,Jacek,Michalak,Lubuskie,Gdańsk,iggojnftkarxwnsftajbpvdxmozwne96,nnfpebskgtgxv96,34.0,1,283.0
97,Aleksander,Kaczmarek,Opolskie,Wrocław,nilsmjowrsxgemoschbchzaspzohhj97,ztlglzgowkhzt97,41.0,1,141.0
98,Róża,Kwiatkowski,Mazowieckie,Poznań,kesbfpohrgiakxlyitxrfegedafvum98,uxpfhudtpfilt98,22.0,1,124.0
99,Agnieszka,Woźniak,Kujawsko-Pomorskie,Gdańsk,tkgaymxukcwszoaymdqxakbhvpzrji99,vfxyvgjwjwgqs99,57.0,5,198.0
100,Małgorzata,Jabłoński,Kujawsko-Pomorskie,Łódź,hxdwxtsyoouogdpxeyrrrgtqpkfcof100,ywjluygtnuqjj100,79.0,4,4.0
101,Edward,Krawczyk,Małopolskie,Gdańsk,uaufdukofwdmmaageyuiekquqlujvs101,pdcodoobnqjut101,80.0,2,312.0
102,Oliwia,Nowak,Podkarpackie,Szczecin,oxxjtjdxtkvawgliluabrmmtdjkzjm102,ngqvjcgentirc102,42.0,1,25.0
103,Zofia,Mazur,Dolnośląskie,Poznań,tsvmtgjnoftntrutlbemduyyatjblr103,zkuxfhfrgjved103,22.0,4,380.0
104,Dariusz,Zawadzki,Opolskie,Warszawa,kfjolpdkhoqdkmgrpwwsmzcyrkoqqo104,iergkluwfdnui104,44.0,1,34.0
105,Jacek,Piotrowski,Kujawsko-Pomorskie,Gdańsk,ruzqsgoarvifamkykxeufuesibcpka105,ulfbshrqnfjfv105,60.0,4,5.0
106,Jacek,Szymański,Opolskie,Łódź,hrfcaelkuifedxucxgtlxahqizorqo106,qlkungsdogipg106,79.0,3,140.0
107,Jacek,Zawadzki,Podkarpackie,Gdańsk,eemegkyyupqxyupngwegiedcbsoxgf107,xpiwywnclxpqj107,66.0,5,379.0
108,Dariusz,Krawczyk,Kujawsko-Pomorskie,Gdańsk,fyxyieoackupxtdjyjwsgmlarnrafs108,xyjkujaqhzepf108,58.0,1,409.0
109,Wojciech,Kamiński,Małopolskie,Poznań,watkolmgowsfhmtrarafrxlejapuex109,ecozbzvjkrlsu109,68.0,1,249.0
110,Grzegorz,Dudek,Podkarpackie,Lublin,jzdxzsvofdwuvumtixofiscykokpxj110,nmchudjcqdrgy110,20.0,2,461.0
111,Szymon,Grabowski,Kujawsko-Pomorskie,Lublin,bamwdbwiiygrtmvzxjbmwldoctgkdx111,jiywjnrratofr111,55.0,4,56.0
112,Norbert,Kaczmarek,Kujawsko-Pomorskie,Bydgoszcz,cbawywmezbxkwvdetiipwurjhjnjvf112,vcrvkcbeeuebt112,50.0,2,163.0
113,Ewa,Grabowski,Podlaskie,Katowice,zdzqchppmkbarijleaqxajkaxoafkf113,rstyfrunbvjat113,73.0,4,364.0
114,Róża,Szymański,Opolskie,Warszawa,xiuijoaqvqtplqldcywdmucnpxrmxn114,fqpehecrhmojd114,50.0,2,159.0
115,Filip,Mazur,Podkarpackie,Łódź,dpbzjhvubapdfozrpzorzlcwlsmmkl115,gnqkyhvflanfe115,79.0,4,71.0
116,Teresa,Nowakowski,Podkarpackie,Katowice,opallphswyqmpqsaydkrdohmftgwdc116,rxjrtcernlnhc116,70.0,1,284.0
117,Jacek,Wojciechowski,Małopolskie,Warszawa,jelktdigtqtdpapgogsuzjmgqxjiwu117,tgghwozbumhaq117,32.0,1,31.0
118,Teresa,Jabłoński,Małopolskie,Bydgoszcz,lvbjwsmbqvofyccrmvmqxkqvztcxqm118,cauqzeyiqjsfn118,73.0,5,9021.0
119,Norbert,Kamiński,Małopolskie,Bydgoszcz,abndjmjywbpcnaakqylzwfdotgtrxq119,ilzduacglwxuj119,73.0,2,125.0
120,Norbert,Piotrowski,Opolskie,Lublin,zcwjrmykskxxeqsadckrivpoyscpxt120,mgkufkpeqzvuh120,43.0,3,163.0
121,Henryk,Krawczyk,Lubuskie,Gdańsk,plsagkpnebimlrayaxmcpsmmcsnvie121,ujycgbhbuttiq121,48.0,5,2693.0
122,Zofia,Adamczyk,Kujawsko-Pomorskie,Gdańsk,tjagrwzrwzwwllgeiptqaknhdrtllg122,frcdxkljllcmk122,42.0,1,263.0
123,Małgorzata,Krawczyk,Kujawsko-Pomorskie,Poznań,kgtjnegrurvdocssiqobvuoqwkosvh123,lwaosgmzyfgwv123,77.0,5,1514.0
124,Grażyna,Wójcik,Łódzkie,Wrocław,zszbjbifomwdytpyltlesiedvprwvc124,mtmqktutikjwy124,71.0,1,155.0
125,Katarzyna,Krawczyk,Dolnośląskie,Warszawa,haaihpnufrqyuemlkynlalhfrtbebb125,btrmsyhfsaorl125,35.0,2,188.0
126,Aleksander,Kamiński,Opolskie,Kraków,ggobdxudwfntpfurgtywzrelrnwjgm126,tjjdpmdpraelw126,26.0,3,198.0
127,Ewa,Zawadzki,Łódzkie,Wrocław,vgmuwqwkvrixnipmypxsfjbybkcodt127,igttugbkxeros127,21.0,1,236.0
128,Małgorzata,Nowakowski,Kujawsko-Pomorskie,Wrocław,mxksyeytkfedejjpdkdgoyfiiioiiq128,aanoknufzlrlu128,74.0,1,209.0
129,Edward,Kowalski,Podkarpackie,Poznań,dvdgwfaqvpaqyhxernsrdekzsqrrol129,vozioxfipanyx129,75.0,4,2491.0
130,Katarzyna,Dziedzic,Lubuskie,Poznań,ekhbzwvuplrsyljvfubzsmmgzgcfkr130,yqtjlqyplfopa130,67.0,2,108.0
131,Grażyna,Wiśniewski,Kujawsko-Pomorskie,Bydgoszcz,gqwsgnigzcuzsuxyaufvbgnnwxfbdj131,itduavehmjske131,23.0,3,316.0
132,Celina,Piotrowski,Podkarpackie,Gdańsk,fexmqetgblsytupanvgyzktoqcvryy132,xlzueeguvgpgr132,29.0,1,9245.0
133,Ewa,Zając,Podlaskie,Bydgoszcz,zotitawqjeuonqnyagfyjuvuppmmmo133,ahpxyrfxdrhfn133,24.0,2,251.0
134,Jacek,Jabłoński,Lubuskie,Poznań,xxnszefigcbcpcadukzdvxegvzovor134,eokocqagazxdi134,50.0,5,2037.0
135,Jacek,Dąbrowski,Opolskie,Szczecin,tmncaawxgkxqwwwlabuungfqcfgunc135,ltpftvbopknvs135,75.0,5,35.0
136,Jacek,Szymański,Kujawsko-Pomorskie,Poznań,tkvkbgmqslkuvmpqfoxupqtmazheif136,sxdyekbyuwhgc136,36.0,2,77.0
137,Małgorzata,Jabłoński,Podkarpackie,Wrocław,pjljgwibmslvrviknjqapsqajihdaq137,gwwmehcbqiqud137,22.0,4,189.0
138,Małgorzata,Grabowski,Podlaskie,Szczecin,aaoshcycqkwsjlmutnuaswxrxqgvsx138,sprnxusyrcrta138,33.0,1,278.0
139,Grzegorz,Kaczor,Lubuskie,Wrocław,folmgdnfblyleinaccmxvqhcdgisqu139,adzkssozxdgob139,42.0,1,7691.0
140,Urszula,Wojciechowski,Opolskie,Gdańsk,mbnipyrffazelszmvgjfflajfenoth140,qummlivhdpfji140,43.0,4,257.0
141,Felicja,Mazur,Podlaskie,Gdańsk,szifwwiydoltjnjqksoesbhvrdxebw141,vppcsxipbpajp141,77.0,5,278.0
142,Grzegorz,Dudek,Dolnośląskie,Łódź,vtdgcpvhuaycgwuijlnjyunwnumvfm142,ilemdoabxmnqw142,26.0,4,4101.0
143,Teresa,Kwiatkowski,Podkarpackie,Lublin,ojhftevgdcvgteqrgnlofznvfkjiez143,eislajqbkybyj143,50.0,5,327.0
144,Róża,Piotrowski,Małopolskie,Gdańsk,woroktzqelwwbluqqaqfklvedqwaza144,olvrmejxvnsgi144,27.0,4,357.0
145,Norbert,Mazur,Mazowieckie,Łódź,rntvxkeyxbhkkbwshjmjothfizmvrf145,ikpbcnrrsrali145,24.0,4,197.0
146,Beata,Michalak,Małopolskie,Łódź,oafygmlurspeqhiljkmewvljymrxux146,jbjauvelqneag146,37.0,3,400.0
147,Urszula,Jabłoński,Podkarpackie,Szczecin,pdplakpzpbqyeaxhwcfqthocdkymwp147,hgscfrioekvja147,47.0,3,365.0
148,Norbert,Woźniak,Podkarpackie,Lublin,kwoxqjbribrivwmsocikzgvqhvwysa148,rimtcuktvrmcm148,80.0,1,444.0
149,Łukasz,Mazur,Małopolskie,Szczecin,ircwjdnkmvaticytkunmfejuicxsyj149,udmbxapigxubj149,78.0,5,229.0
150,Celina,Piotrowski,Małopolskie,Bydgoszcz,ksfkpriprqajaoxwdoaanvwkvxtbjd150,cujfdljqbobwr150,25.0,2,170.0
151,Teresa,Zawadzki,Podlaskie,Gdańsk,qidwvpyxamaxbhwveuvtzjzwqjqulk151,jxavewnydfrzo151,32.0,1,382.0
152,Czesław,Krawczyk,Kujawsko-Pomorskie,Lublin,gjwqufmknhnmjfcqsegqxiwgtxfxbb152,wbowhxdckjgiu152,62.0,5,9347.0
153,Katarzyna,Wójcik,Kujawsko-Pomorskie,Wrocław,druoglvlsrblwnxlxwvdowyynghnoh153,tqanjghkgiigf153,31.0,4,188.0
154,Celina,Adamczyk,Opolskie,Kraków,vuhypvztfqjuhblzdhuvqmvgxjgkqy154,qknwduoyrmdcs154,32.0,4,480.0
155,Szymon,Adamczyk,Opolskie,Bydgoszcz,jsiphbltifbanedrbvkgjumfxwaafc155,hesrdotfpujdj155,54.0,3,168.0
156,Róża,Michalak,Małopolskie,Lublin,yzhryoruflbmfufbmflqokecadsozm156,ohcdxwztklrxj156,69.0,4,252.0
157,Jacek,Kaczor,Lubelskie,Katowice,ofmqghtjvizawlgvzymbcwknnwlnnb157,xsuyltqxhaqua157,43.0,5,123.0
158,Grażyna,Kaczmarek,Lubuskie,Bydgoszcz,vfegszciicplzzzgpxohnxmkezwoby158,klbqdrilyiudq158,66.0,3,38.0
159,Beata,Kaczor,Opolskie,Lublin,jxhgztkxzgigiudikjorjrkeagydnt159,ibspobcgqrpxw159,57.0,4,54.0
160,Norbert,Kaczor,Lubuskie,Lublin,mlfddcrbwbtlcyxmeyhuuwxlumobdh160,irmhvdsvbbzhs160,78.0,5,214.0
161,Grzegorz,Szymański,Małopolskie,Warszawa,lfmyrvpvwdbqmxawegsztqrnmkrvwc161,ovbqjkxrfavxz161,51.0,3,304.0
162,Norbert,Michalak,Lubuskie,Bydgoszcz,iycoiumssxhkcvmglwhnzbjyvxxxol162,dkkqjczvcfygr162,31.0,5,268.0
163,Teresa,Wiśniewski,Małopolskie,Lublin,hbvqswpiemtpwsjaaxrbkkdcbjwkqu163,xuttiyrxrcfhg163,28.0,4,255.0
164,Zofia,Wojciechowski,Kujawsko-Pomorskie,Lublin,dolendvpsojhscnjemopmuzkswulvo164,bwqmelevjyehv164,72.0,3,55.0
165,Szymon,Woźniak,Kujawsko-Pomorskie,Szczecin,kschqsnbtuadweqqdfkuogmbdielri165,ejuzulyebllyx165,30.0,4,5912.0
166,Agnieszka,Krawczyk,Podkarpackie,Wrocław,cdbtdnhtqfwunsgfrgjhmyiasqvlyy166,jyjzdgkjhylia166,38.0,1,176.0
167,Felicja,Krawczyk,Lubuskie,Gdańsk,kfsdylzmjdxtqcgrplkvvqixhqvafp167,iilbjijaupmpe167,33.0,4,9792.0
168,Oliwia,Zając,Kujawsko-Pomorskie,Wrocław,ldcablwtigviyzcahplrmvrncqieue168,urimkvotgqsfr168,34.0,1,8926.0
169,Czesław,Nowakowski,Podkarpackie,Poznań,xfsmckuplnzkxolvkbdtzerbeiddpu169,rxkpsaevjhrlo169,32.0,2,132.0
170,Iwona,Dudek,Mazowieckie,Bydgoszcz,irbsdzvytunwqozndzrmonzfmiozqa170,xgxyftrwhyaye170,43.0,1,237.0
171,Bartosz,Mazur,Kujawsko-Pomorskie,Warszawa,cjlwbpujwjtxzxuyuzsgtdqbfnlllf171,qrqfjsycjlypv171,27.0,1,449.0
172,Danuta,Kamiński,Opolskie,Poznań,kscxqanqwbakjzizcowvcwipqdnczh172,aroslizvjbrbe172,62.0,2,2429.0
173,Aleksander,Zawadzki,Lubuskie,Wrocław,khqhbznnajmtdzhvbrwckfcllfkuen173,ikqehhumizlza173,66.0,1,1.0
174,Paweł,Adamczyk,Małopolskie,Lublin,auqtwevdmanslawslsrqlsvdbnyklt174,veenirhprlfsx174,21.0,2,318.0
175,Dariusz,Nowak,Opolskie,Szczecin,tysdngpcddugqnplbsknyqucrktfje175,dqiepaspcevtk175,59.0,1,116.0
176,Felicja,Szymański,Łódzkie,Gdańsk,pxmmciucricioznjweereawebluwes176,lupqjheulnsqq176,42.0,3,321.0
177,Wojciech,Kaczor,Kujawsko-Pomorskie,Gdańsk,mhcmpycbrqdokrvkpqihkpyrwqywmk177,xkldhisdwtxgn177,27.0,3,365.0
178,Norbert,Zawadzki,Lubuskie,Kraków,gvzxagpuqtqthofbadflhqctrbplxm178,flzbusepmywmn178,21.0,4,436.0
179,Aleksander,Woźniak,Podlaskie,Poznań,tpbulwvoegnbheeugzkujuvjgihwsq179,fwcvhvxswzcjz179,77.0,4,336.0
180,Czesław,Zając,Opolskie,Warszawa,pgjunhxwlxlwkrswbfsqkemlcbnqfa180,qtqkhwoyzxxae180,46.0,5,416.0
